SamplingEventIdentifier,RouteIdentifier,SiteCode,survey_year,survey_month,survey_day,latitude,UTMNorthing
SKOWLS-69229-1,SK0012,NA,2006,4,15,NA,NA
SKOWLS-69232-1,SK0012,NA,2008,4,27,NA,NA
SKOWLS-69234-1,SK0012,NA,2009,4,25,NA,NA
SKOWLS-69332-9,SK0030,NA,2015,4,13,NA,NA
SKOWLS-69370-8,SK0042,NA,2010,4,16,NA,NA
SKOWLS-69378-1,SK0043,NA,2003,4,11,NA,NA
SKOWLS-69395-1,SK0043,NA,2004,4,2,NA,NA
SKOWLS-69396-1,SK0043,NA,2005,4,1,NA,NA
SKOWLS-69396-6,SK0043,NA,2005,4,1,NA,NA
SKOWLS-69397-1,SK0043,NA,2006,4,8,NA,NA
SKOWLS-69399-1,SK0043,NA,2007,4,14,NA,NA
SKOWLS-69408-1,SK0043,NA,2008,4,26,NA,NA
SKOWLS-69418-1,SK0043,NA,2010,3,20,NA,NA
SKOWLS-69419-1,SK0043,NA,2011,4,2,NA,NA
SKOWLS-69420-1,SK0043,NA,2012,4,4,NA,NA
SKOWLS-69421-1,SK0043,NA,2014,4,21,NA,NA
SKOWLS-69422-1,SK0043,NA,2015,4,8,NA,NA
SKOWLS-86720-10,SK0022,NA,2010,4,3,NA,NA
SKOWLS-86933-8,SK0053,NA,2007,4,25,NA,NA
SKOWLS-105992-11,SK0055,NA,2019,3,29,NA,NA
SKOWLS-105992-12,SK0055,NA,2019,3,29,NA,NA
SKOWLS-133403-1,SK0001,NA,2020,3,20,NA,NA
